answer_id,answer_text,matched_category,category_id,similarity_score,rank
5c8a78336d41a10da4f73103,personal interest,"17.3 Banking, investments",52366,0.6715,1
5c8a78336d41a10da4f73103,personal interest,14. Niche tourism,52347,0.6208,2
5c8a78336d41a10da4f73103,personal interest,13.3 Data Analytics and personalization,52344,0.6146,3
5c8a78336d41a10da4f73100,to obtain general information,12.1 TIC: Travel information centre,52337,0.6779,1
5c8a78336d41a10da4f73100,to obtain general information,6.3 Services & facilities,52302,0.6593,2
5c8a78336d41a10da4f73100,to obtain general information,2.3 Receptive / ground operator,52282,0.6452,3
5c8a78336d41a10da4f730ff,to source products and services,9.2 Manufacturer / distributor of consumables,52320,0.7179,1
5c8a78336d41a10da4f730ff,to source products and services,11.3 Other services in the sphere of business tourism,52335,0.6953,2
5c8a78336d41a10da4f730ff,to source products and services,6.3 Services & facilities,52302,0.6877,3
5c8a78336d41a10da4f73101,to promote products and services,11.3 Other services in the sphere of business tourism,52335,0.7161,1
5c8a78336d41a10da4f73101,to promote products and services,9.2 Manufacturer / distributor of consumables,52320,0.7138,2
5c8a78336d41a10da4f73101,to promote products and services,6.3 Services & facilities,52302,0.6802,3
5c8a78336d41a10da4f73102,educational purposes,14.2 Study abroad & volunteering,52349,0.6196,1
5c8a78336d41a10da4f73102,educational purposes,10.2 Equipment for museums and excursions,52326,0.6123,2
5c8a78336d41a10da4f73102,educational purposes,10.3 Cultural heritage site,52327,0.5941,3
5c8a78336d41a10da4f7323c,formation of tourist products,11.3 Other services in the sphere of business tourism,52335,0.749,1
5c8a78336d41a10da4f7323c,formation of tourist products,14. Niche tourism,52347,0.7282,2
5c8a78336d41a10da4f7323c,formation of tourist products,14.8 Other type of specialized tourism,52355,0.7166,3
5c8a78336d41a10da4f7323d,guided tour services,2. Tour operators,52279,0.7844,1
5c8a78336d41a10da4f7323d,guided tour services,2.1 Inbound tour operator,52280,0.7428,2
5c8a78336d41a10da4f7323d,guided tour services,2.6 Specialized tour operator,52285,0.7417,3
66a9e6f5950796d2c81af658,event management,11.2 Event organizer,52334,0.8515,1
66a9e6f5950796d2c81af658,event management,11. MICE and event management,52332,0.8442,2
66a9e6f5950796d2c81af658,event management,13.1 Online booking system & trip planner software,52342,0.6808,3
5c8a78336d41a10da4f73229,marketing,15. Media,52356,0.7052,1
5c8a78336d41a10da4f73229,marketing,15.1 Print media,52357,0.6664,2
5c8a78336d41a10da4f73229,marketing,15.2 Online media,52358,0.6426,3
5c8a78336d41a10da4f7323b,visa support,3.2 Authorized travel agency,52288,0.6831,1
5c8a78336d41a10da4f7323b,visa support,17.2 Payment service provider,52365,0.6815,2
5c8a78336d41a10da4f7323b,visa support,3. Travel  agencies,52286,0.671,3
5c8a78336d41a10da4f7322c,general management,1.6 Management company,52277,0.7944,1
5c8a78336d41a10da4f7322c,general management,6.3 Services & facilities,52302,0.6646,2
5c8a78336d41a10da4f7322c,general management,2.6 Specialized tour operator,52285,0.6434,3
5c8a78336d41a10da4f73228,sales,9.2 Manufacturer / distributor of consumables,52320,0.6707,1
5c8a78336d41a10da4f73228,sales,8.6 Medical products and machinery manufacturer / distributor,52316,0.6323,2
5c8a78336d41a10da4f73228,sales,9. Hotel equipment & service suppliers,52318,0.6272,3
66a9e70f950796d2c81af65a,government,12. Tourist board / Government / NTO,52336,0.6859,1
66a9e70f950796d2c81af65a,government,6.3 Services & facilities,52302,0.6369,2
66a9e70f950796d2c81af65a,government,10. Museums & parks,52324,0.6181,3
5c8a78336d41a10da4f73244,media,15. Media,52356,1.0,1
5c8a78336d41a10da4f73244,media,15.2 Online media,52358,0.8495,2
5c8a78336d41a10da4f73244,media,15.1 Print media,52357,0.8438,3
66a9e704950796d2c81af659,it services,6.3 Services & facilities,52302,0.802,1
66a9e704950796d2c81af659,it services,13. IT solutions for travel industry,52341,0.7553,2
66a9e704950796d2c81af659,it services,5.4 Transfer services,52296,0.7419,3
5c8a78336d41a10da4f73292,accommodation provider,1. Accomodation providers,52271,0.9162,1
5c8a78336d41a10da4f73292,accommodation provider,1.7 Other type of accommodation facility,52278,0.833,2
5c8a78336d41a10da4f73292,accommodation provider,1.2 Apartments / Residential hotel,52273,0.7385,3
611506abc0d46618f87aadef,sightseeing or museum or excursions and activities,10. Museums & parks,52324,0.8301,1
611506abc0d46618f87aadef,sightseeing or museum or excursions and activities,10.2 Equipment for museums and excursions,52326,0.819,2
611506abc0d46618f87aadef,sightseeing or museum or excursions and activities,14.8 Other type of specialized tourism,52355,0.7786,3
5c8a78336d41a10da4f732d6,other,5.6 Other transport services,52298,0.7111,1
5c8a78336d41a10da4f732d6,other,1.7 Other type of accommodation facility,52278,0.6613,2
5c8a78336d41a10da4f732d6,other,14.8 Other type of specialized tourism,52355,0.6589,3
5c8a78336d41a10da4f732be,educational institution,6.3 Services & facilities,52302,0.6531,1
5c8a78336d41a10da4f732be,educational institution,10.1 Museum,52325,0.6439,2
5c8a78336d41a10da4f732be,educational institution,10.3 Cultural heritage site,52327,0.6413,3
611506a1c0d46618f87aadee,insurance,17.1 Insurance company,52364,0.822,1
611506a1c0d46618f87aadee,insurance,17. Insurance companies & banking,52363,0.7599,2
611506a1c0d46618f87aadee,insurance,"17.3 Banking, investments",52366,0.6408,3
64ef585fc6119baa2a51a9f8,glamping,7. Mobile homes & glampings,52306,0.7972,1
64ef585fc6119baa2a51a9f8,glamping,7.3 Other type of motorhomes & glamping,52309,0.7627,2
64ef585fc6119baa2a51a9f8,glamping,7.1 Owner of mobile homes or glamping,52307,0.7252,3
64ef5884c6119baa2a51a9fc,glamping manufacturer,"7.2 Mobile homes, glamping & components manufacturer / distributor",52308,0.821,1
64ef5884c6119baa2a51a9fc,glamping manufacturer,7. Mobile homes & glampings,52306,0.7285,2
64ef5884c6119baa2a51a9fc,glamping manufacturer,7.1 Owner of mobile homes or glamping,52307,0.7284,3
5c8a78336d41a10da4f73290,tour operator,2. Tour operators,52279,0.9421,1
5c8a78336d41a10da4f73290,tour operator,2.6 Specialized tour operator,52285,0.9234,2
5c8a78336d41a10da4f73290,tour operator,2.1 Inbound tour operator,52280,0.8592,3
5c8a78336d41a10da4f73259,transport services or air carriage,5. Transport services / air carriage,52292,1.0,1
5c8a78336d41a10da4f73259,transport services or air carriage,5.6 Other transport services,52298,0.858,2
5c8a78336d41a10da4f73259,transport services or air carriage,5.2 Bus services,52294,0.7519,3
5c8a78336d41a10da4f732cf,it solutions for travel industry,13. IT solutions for travel industry,52341,1.0,1
5c8a78336d41a10da4f732cf,it solutions for travel industry,11.3 Other services in the sphere of business tourism,52335,0.7665,2
5c8a78336d41a10da4f732cf,it solutions for travel industry,13.1 Online booking system & trip planner software,52342,0.7631,3
5c8a78336d41a10da4f73293,medical centre or clinic,8.1 Hospitals & clinics,52311,0.8362,1
5c8a78336d41a10da4f73293,medical centre or clinic,6.3 Services & facilities,52302,0.7016,2
5c8a78336d41a10da4f73293,medical centre or clinic,8.2 Short-term complex rest and medical services,52312,0.6929,3
5c8a78336d41a10da4f73295,caravaning,6. Motorhomes & caravans,52299,0.8503,1
5c8a78336d41a10da4f73295,caravaning,6.2 Campervans & caravans,52301,0.8342,2
5c8a78336d41a10da4f73295,caravaning,6.1 Motorhomes,52300,0.7445,3
64ef589ec6119baa2a51a9fe,travel agent,3. Travel  agencies,52286,0.8438,1
64ef589ec6119baa2a51a9fe,travel agent,4. Online travel agency,52290,0.8348,2
